"filename", "language", "Properties", "Ignore", "JavaScript", "Markdown", "TypeScript", "JSON with Comments", "SCSS", "Vue", "HTML", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\.dockerignore", "Ignore", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\.env", "Properties", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\.eslintrc.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\.nginx\nginx.conf", "Properties", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\.prettierrc.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\README.md", "Markdown", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\babel.config.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\css\app.afb24335.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\css\chunk-07650814.f58e77a8.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\css\chunk-0e8d55c2.a5c908f7.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\dist\css\chunk-72f4ea13.606a46d3.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
